normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc
ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,otc,Пропранолол,rx,Натрия хлорид,rx,"Ацетилсалициловая кислота, Аскорбиновая кислота",,Розувастатин,rx,,,,rx
"ПИКОДИНАР КАПЛИ Д/ПРИЕМА ВНУТРЬ 7,5МГ/МЛ ФЛ. 15МЛ | ГРОТЕКС ООО | ГРОТЕКС ООО",,otc,Натрия пикосульфат,otc,Натрия пикосульфат,otc,Натрия пикосульфат,,Натрия пикосульфат,otc,,,Натрия пикосульфат,otc
ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,otc,,,,,,,,otc,,,,
ПАРАЦЕТАМОЛ ТАБЛ. 500МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,Парацетамол,otc,Парацетамол,otc,,,,,,,,,Парацетамол,
ПАРАЦЕТАМОЛ СУСП. Д/ПРИЕМА ВНУТРЬ ДЛЯ ДЕТЕЙ 120МГ/5МЛ ФЛ. 100МЛ СИНТЕЗ | СИНТЕЗ | СИНТЕЗ,Парацетамол,otc,,,,,,,,,,,,
ПАРАЦЕТАМОЛ РЕНЕВАЛ ТАБЛ. 500МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Парацетамол,otc,Метамизол натрия,otc,Парацетамол,otc,"Ацетилсалициловая кислота, Аскорбиновая кислота",,Розувастатин,rx,,,,otc
ПАРАЦЕТАМОЛ ДЕТСКИЙ СУСП. Д/ПРИЕМА ВНУТРЬ МАЛИНА 120МГ/5МЛ ФЛ. 100Г ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Парацетамол,otc,,,,,,,,,,,,
ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Папаверин,rx,Папаверин,otc,Папаверин,otc,Папаверин,,Папаверин,rx,,,Папаверин,otc
ПАНТОКАЛЬЦИН ТАБЛ. 500МГ №50 | ВАЛЕНТА ФАРМ АО | ВАЛЕНТА ФАРМ АО,,,Инозин пранобекс,rx,Имидазолилэтанамид пентандиовой кислоты,otc,,,,,,,,
ПАНТЕНОЛ-ТЕВА МАЗЬ Д/НАРУЖ. ПРИМ. 5% ТУБА 35Г | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,Декспантенол,otc,Декспантенол,otc,Декспантенол,otc,Декспантенол,,Декспантенол,otc,,,Декспантенол,otc
